charity_number,name,original_url
CC32611,"Palmerston North Heritage Trust",API_ERROR
CC33168,"Palmerston North Jaycee Trust",API_ERROR
CC51020,"Papatoetoe High School Scholarship Fund",API_ERROR
CC63385,"Pasifika Funders Network ",API_ERROR
CC23475,"Patrick Ernest Gye Trust",API_ERROR
CC24146,"Paul Ambrose Radomski Trust",API_ERROR
CC46832,"Pauline Gapper Charitable Trust",API_ERROR
CC57778,"Pentecostal Missionary Church of Christ (4th Watch) - Wellington Locale, New Zealand",API_ERROR
CC57443,"Perpetual Guardian (Givealittle) Holdings Limited",API_ERROR
CC60773,"Peter and Ngaire Edmonds Charitable Trust",API_ERROR
CC55503,"Plum Tree Trust",API_ERROR
CC62198,"Police Memorial Trust of New Zealand",API_ERROR
CC39334,"PwC Foundation",API_ERROR
CC10776,"Ralph Dingle Trust",API_ERROR
CC43064,"Raukura Moana Seafoods Limited",API_ERROR
CC50768,"Raymond Archer Charitable Trust",API_ERROR
CC50118,"Reformed Church of Oamaru Trust Board",API_ERROR
CC46137,"Reginald and Alma Langley Trust",API_ERROR
CC54772,"Revival Church of Christ Trust",API_ERROR
CC61514,"Robbie's Mind Matrix",API_ERROR
CC44797,"Roger Silson Charitable Trust",API_ERROR
CC51587,"Roy and Marie Sainsbury Charitable Trust",API_ERROR
CC31357,"SFX Parents and Friends",API_ERROR
CC58188,"SIASI UESILIANA TAU'ATAINA 'O TONGA 'I TE RAPA, HAMILTON, NU'U SILA TRUST",API_ERROR
CC25082,"Salem Wakem Trust",API_ERROR
CC29674,"Samoan Congregational Christian Church Of New Lynn Trust Board",API_ERROR
CC30610,"Sarjeant Gallery Trust Board",API_ERROR
CC21539,"Sea Education Aotea Charitable Trust",API_ERROR
CC49892,"Shirley Estelle Owen Charitable Trust",API_ERROR
CC57464,"South Christchurch Youth Trust",API_ERROR
CC51560,"TDL NO.3 LIMITED",API_ERROR
CC50318,"TDL No 2 Limited",API_ERROR
CC59543,"TGH Asset Holdco Limited",API_ERROR
CC59584,"TGH Commercial Development Limited",API_ERROR
CC59583,"TGH Commercial Investment Limited",API_ERROR
CC59585,"TGH Crown Development Limited ",API_ERROR
CC43077,"TGH Crown Investment Limited",API_ERROR
CC59536,"TGH Development Property Limited",API_ERROR
CC59537,"TGH Forestry Limited",API_ERROR
CC59586,"TGH Hotels Development Limited ",API_ERROR
CC59587,"TGH Industrial Development Limited ",API_ERROR
CC59588,"TGH Industrial Investment Limited ",API_ERROR
CC59538,"TGH Infrastructure Limited",API_ERROR
CC59535,"TGH Investment Property Limited",API_ERROR
CC43081,"TGH Property Limited",API_ERROR
CC59542,"TGH RUAKURA INDUSTRIAL DEVELOPMENT LIMITED",API_ERROR
CC59541,"TGH RUAKURA RESIDENTIAL DEVELOPMENT LIMITED",API_ERROR
CC51148,"TGH Residential Development Limited",API_ERROR
CC59589,"TGH Residential Investment Limited",API_ERROR
CC59539,"TGH Retail Investment Limited",API_ERROR
CC59540,"TGH Ruakura Port Holdco Limited",API_ERROR
CC59534,"TGH Whenua Limited",API_ERROR
CC28747,"THE GENERAL CHARITABLE FUND SOUTH CANTERBURY",API_ERROR
CC58981,"Tahuri Mai Charitable Trust",API_ERROR
CC43082,"Tainui Group Holdings Limited",API_ERROR
CC62574,"Taranaki LEAD Youth Conference Charitable Trust",API_ERROR
CC20951,"Tararua College Educational Trust",API_ERROR
CC52173,"Te Papa Foundation ",API_ERROR
CC46175,"Terry Cummings Charitable Trust",API_ERROR
CC24331,"That Was Then This Is Now Charitable Trust",API_ERROR
CC34455,"The A J Scott Fund",API_ERROR
CC23128,"The Achison Memorial Trust",API_ERROR
CC22573,"The Aileen Gilligan Trust",API_ERROR
CC51072,"The Allan Silas Jenkins Charitable Trust",API_ERROR
CC27115,"The Arthur Edwin and Agnes May Thomas Perpetual Trust",API_ERROR
CC31196,"The Arthur Hopwood Charitable Trust Fund",API_ERROR
CC28173,"The Arthur White Trust",API_ERROR
CC36498,"The Audrey Simpson Trust Fund",API_ERROR
CC26830,"The Barrington Miller Educational Trust Fund No.1",API_ERROR
CC53113,"The Beatrice Ratcliffe Charitable Trust",API_ERROR
CC47058,"The Carson Charitable Trust No 1",API_ERROR
CC47057,"The Carson Charitable Trust No 2",API_ERROR
CC47056,"The Carson Charitable Trust No 3",API_ERROR
CC43947,"The Charles and Vera Thrush Charitable Trust",API_ERROR
CC58166,"The Chatham Islands Mayoral Disaster Relief Fund Trust",API_ERROR
CC43312,"The Congregational Christian Church Of Samoa In New Zealand (Levin) Incorporated",API_ERROR
CC27259,"The Doris M Partridge Trust",API_ERROR
CC45325,"The Douglas and Audrey Symons Charitable Trust",API_ERROR
CC24209,"The Dowdall Trust",API_ERROR
CC35793,"The E L Herbert Memorial Fund",API_ERROR
CC22208,"The Elma Sims Trust",API_ERROR
CC50238,"The Ernest and Josephine Earnshaw Charitable Trust",API_ERROR
CC22587,"The Esther Watson Charitable Trust",API_ERROR
CC45873,"The Florence & George Chamberlain Charitable Trust",API_ERROR
CC20312,"The Fred Crook Trust Fund",API_ERROR
CC23188,"The Frederick and Audrey Adams Trust",API_ERROR
CC43978,"The Frizelle Charitable Trust",API_ERROR
CC47745,"The Garry and Norah Madden Trust",API_ERROR
CC21776,"The George and Noela Waddel Charitable Trust",API_ERROR
CC24606,"The Glyn Evans Charitable Trust",API_ERROR
CC41333,"The Goodwill Charitable Trust",API_ERROR
CC27064,"The Hans Trommel Trust",API_ERROR
CC23602,"The Helen Spooner Charitable Trust",API_ERROR
CC27504,"The Hilda Curtis Charitable Trust",API_ERROR
CC50981,"The Hugh Hunter Berg Charitable Trust",API_ERROR
CC10502,"The Irene and Stanley Sawtell Charitable Trust",API_ERROR
CC11423,"The Ivan & Nancye Davis Charitable Trust",API_ERROR
CC28379,"The Ivy May Baigent Perpetual Trust",API_ERROR
CC22996,"The Jack Roud Trust Fund",API_ERROR
CC45320,"The Jessie Hill Charitable Trust",API_ERROR
CC48935,"The John Dixon Elliott and Dorothy Hoole Elliott Charitable Trust",API_ERROR
CC48589,"The Joyce Shanley Trust ",API_ERROR
CC43030,"The Kynaston (Joan Pierard) Charitable Trust",API_ERROR
CC24636,"The Maisie Hayes and Charlie Warr Memorial Trust",API_ERROR
CC44654,"The Margaret Ann Tibbles Charitable Trust",API_ERROR
CC23817,"The Margaret Ruth Sneddon Trust",API_ERROR
CC39942,"The Marjorie M Stead Trust",API_ERROR
CC20835,"The Mary Bessie Rhodes' Perpetual Trust",API_ERROR
CC23029,"The Mary and Michael Mullin Trust Fund",API_ERROR
CC24074,"The Melville Robert and Thelma Eleanor Overend Perpetual Trust",API_ERROR
CC33963,"The Monk Family Charitable Trust",API_ERROR
CC24090,"The Morva Milburn Williams Trust",API_ERROR
CC52419,"The National Library of New Zealand Foundation",API_ERROR
CC25988,"The Oswald McKenzie Charitable Trust",API_ERROR
CC50393,"The Owen & John Whitfield Charitable Trust No 1",API_ERROR
CC39086,"The Owen & John Whitfield Charitable Trust No 2",API_ERROR
CC43972,"The Oyster Boat Charitable Trust",API_ERROR
CC24217,"The Page Trust",API_ERROR
CC35984,"The Peace and Disarmament Education Trust",API_ERROR
CC22021,"The Pukerua Bay Charitable Trust",API_ERROR
CC22296,"The Reed Charitable Trust",API_ERROR
CC21375,"The Robert & Elizabeth Watson & Amelia Bullock-Webster Fund",API_ERROR
CC10944,"The Robert Walsh Hemsley Trust",API_ERROR
CC37203,"The Susan Price Collection Endowment Trust",API_ERROR
CC42668,"The Thomas Brydon Trust",API_ERROR
CC24177,"The Thomas Cavell Connelly Nichol Charitable Trust",API_ERROR
CC49334,"The Tillson Trust",API_ERROR
CC36341,"The Twigger Endowments",API_ERROR
CC33455,"The Wellington College Rugby Charitable Trust",API_ERROR
CC20786,"The Wellington Sisters Charitable Trust",API_ERROR
CC24081,"The William Burns Ross and Catherine Ross Trust",API_ERROR
CC27204,"The William Edward and Ruby Alice Dickinson Trusts",API_ERROR
CC47770,"The Williams Trust",API_ERROR
CC28475,"The Winifred Beatrice May and Charles Dickens Jolly Trust",API_ERROR
CC32165,"Thomas Richard Moore Trust",API_ERROR
CC31691,"Three Harbours Health Foundation",API_ERROR
CC55170,"Uru Manuka Education Trust",API_ERROR
CC20834,"Vonda Miles Trust",API_ERROR
CC51189,"WAITAKERE JAPANESE SUPPLEMENTARY SCHOOL",API_ERROR
CC21046,"Waikato Health Trust",API_ERROR
CC56049,"Waikouaiti Primary School Friends of the School Committee",API_ERROR
CC22379,"Whananaki Youth Hostel Trust",API_ERROR
CC20454,"Winston Churchill Memorial Trust",API_ERROR
CC33440,"Yoga Laughter Foundation",API_ERROR
CC21746,"Zelda Roberts Charitable Trust",API_ERROR
CC60421,"good smaritan apostolic trust",API_ERROR
