charity_number,name,grant_page_url
CC23602,"The Helen Spooner Charitable Trust",
CC27504,"The Hilda Curtis Charitable Trust",
CC50981,"The Hugh Hunter Berg Charitable Trust",
CC10502,"The Irene and Stanley Sawtell Charitable Trust",
CC11423,"The Ivan & Nancye Davis Charitable Trust",
CC28379,"The Ivy May Baigent Perpetual Trust",
CC22996,"The Jack Roud Trust Fund",https://www.publictrust.co.nz/grants/frozen-funds-charitable-trust/
CC45320,"The Jessie Hill Charitable Trust",
CC48935,"The John Dixon Elliott and Dorothy Hoole Elliott Charitable Trust",
CC48589,"The Joyce Shanley Trust ",
CC43030,"The Kynaston (Joan Pierard) Charitable Trust",
CC24636,"The Maisie Hayes and Charlie Warr Memorial Trust",
CC44654,"The Margaret Ann Tibbles Charitable Trust",
CC23817,"The Margaret Ruth Sneddon Trust",
CC39942,"The Marjorie M Stead Trust",
CC20835,"The Mary Bessie Rhodes' Perpetual Trust",
CC23029,"The Mary and Michael Mullin Trust Fund",
CC24074,"The Melville Robert and Thelma Eleanor Overend Perpetual Trust",
CC33963,"The Monk Family Charitable Trust",
CC24090,"The Morva Milburn Williams Trust",
CC25988,"The Oswald McKenzie Charitable Trust",https://www.publictrust.co.nz/grants/frozen-funds-charitable-trust/
CC50393,"The Owen & John Whitfield Charitable Trust No 1",
CC39086,"The Owen & John Whitfield Charitable Trust No 2",
CC43972,"The Oyster Boat Charitable Trust",https://www.publictrust.co.nz/grants/?type=organisation&region=central-and-lower-north-island
CC24217,"The Page Trust",https://www.publictrust.co.nz/grants/page-trust/
CC22021,"The Pukerua Bay Charitable Trust",https://www.publictrust.co.nz/grants/?type=organisation&region=central-and-lower-north-island
CC22296,"The Reed Charitable Trust",
CC21375,"The Robert & Elizabeth Watson & Amelia Bullock-Webster Fund",
CC10944,"The Robert Walsh Hemsley Trust",
CC24177,"The Thomas Cavell Connelly Nichol Charitable Trust",
CC49334,"The Tillson Trust",
CC36341,"The Twigger Endowments",
CC20786,"The Wellington Sisters Charitable Trust",https://www.publictrust.co.nz/grants/?type=organisation&region=central-and-lower-north-island
CC24081,"The William Burns Ross and Catherine Ross Trust",
CC27204,"The William Edward and Ruby Alice Dickinson Trusts",
CC47770,"The Williams Trust",https://www.publictrust.co.nz/grants/l-w-nelson-charitable-trust/
CC28475,"The Winifred Beatrice May and Charles Dickens Jolly Trust",
CC32165,"Thomas Richard Moore Trust",https://www.publictrust.co.nz/grants/thomas-richard-moore-trust/
CC20834,"Vonda Miles Trust",
CC21746,"Zelda Roberts Charitable Trust",
